model,dataset,reasoning_enabled,brevity_hint,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,precision_report,recall_report,f1_report,accuracy_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,unaligned_entity_count_avg,unaligned_entity_count_std,unaligned_entity_rate_report,all_entities_wrongly_unaligned_avg,all_entities_wrongly_unaligned_std,all_entities_wrongly_unaligned_rate_report,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
openai/gpt-oss-20b,uner_en_ewt,True,False,low,,sampling,True,unconstrained,n|a,1,,18000,42,1,77.62 ± 0.00,65.35 ± 0.00,70.96 ± 0.00,92.59 ± 0.00,77.41 ± 0.00,69.31 ± 0.00,73.14 ± 0.00,82.58 ± 0.00,73.93 ± 0.00,78.02 ± 0.00,150,0.0,21.16 ± 0.00,0,0.0,0.00 ± 0.00,262,0.0,22.20 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,77.175,0.0,36.421,0.0
openai/gpt-oss-20b,uner_en_ewt,True,False,low,,sampling,True,constrained,token_aware,1,,18000,42,1,70.45 ± 0.00,76.47 ± 0.00,73.34 ± 0.00,90.43 ± 0.00,66.81 ± 0.00,89.53 ± 0.00,76.52 ± 0.00,71.05 ± 0.00,95.21 ± 0.00,81.37 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,76.251,0.0,36.59,0.0
openai/gpt-oss-20b,uner_sk_snk,True,False,low,,sampling,True,unconstrained,n|a,1,,18000,42,1,73.23 ± 0.00,55.30 ± 0.00,63.01 ± 0.00,90.23 ± 0.00,75.92 ± 0.00,60.57 ± 0.00,67.38 ± 0.00,81.73 ± 0.00,65.20 ± 0.00,72.54 ± 0.00,144,0.0,25.85 ± 0.00,0,0.0,0.00 ± 0.00,282,0.0,28.98 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,112.53,0.0,40.341,0.0
openai/gpt-oss-20b,uner_sk_snk,True,False,low,,sampling,True,constrained,token_aware,1,,18000,42,1,66.23 ± 0.00,72.46 ± 0.00,69.21 ± 0.00,90.04 ± 0.00,67.75 ± 0.00,87.21 ± 0.00,76.25 ± 0.00,71.96 ± 0.00,92.63 ± 0.00,80.99 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,111.099,0.0,40.811,0.0
openai/gpt-oss-20b,uner_sv_talbanken,True,False,low,,sampling,True,unconstrained,n|a,1,,18000,42,1,87.50 ± 0.00,75.00 ± 0.00,80.77 ± 0.00,96.35 ± 0.00,84.10 ± 0.00,80.83 ± 0.00,82.43 ± 0.00,86.03 ± 0.00,82.68 ± 0.00,84.33 ± 0.00,20,0.0,16.53 ± 0.00,0,0.0,0.00 ± 0.00,38,0.0,18.45 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,87.364,0.0,7.456,0.0
openai/gpt-oss-20b,uner_sv_talbanken,True,False,low,,sampling,True,constrained,token_aware,1,,18000,42,1,78.47 ± 0.00,83.67 ± 0.00,80.99 ± 0.00,95.73 ± 0.00,74.66 ± 0.00,94.83 ± 0.00,83.54 ± 0.00,76.17 ± 0.00,96.75 ± 0.00,85.23 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,90.43,0.0,7.792,0.0
openai/gpt-oss-20b,uner_ceb_gja,True,False,low,,sampling,True,unconstrained,n|a,1,,18000,42,1,65.00 ± 0.00,53.06 ± 0.00,58.43 ± 0.00,88.29 ± 0.00,61.11 ± 0.00,66.96 ± 0.00,63.90 ± 0.00,61.11 ± 0.00,66.96 ± 0.00,63.90 ± 0.00,13,0.0,31.71 ± 0.00,0,0.0,0.00 ± 0.00,22,0.0,35.48 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,68.927,0.0,1.819,0.0
openai/gpt-oss-20b,uner_ceb_gja,True,False,low,,sampling,True,constrained,token_aware,1,,18000,42,1,63.46 ± 0.00,67.35 ± 0.00,65.35 ± 0.00,83.18 ± 0.00,49.43 ± 0.00,93.48 ± 0.00,64.66 ± 0.00,49.43 ± 0.00,93.48 ± 0.00,64.66 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,70.829,0.0,1.824,0.0
openai/gpt-oss-20b,uner_tl_ugnayan,True,False,low,,sampling,True,unconstrained,n|a,1,,18000,42,1,73.68 ± 0.00,42.42 ± 0.00,53.85 ± 0.00,87.11 ± 0.00,82.65 ± 0.00,53.71 ± 0.00,65.11 ± 0.00,82.65 ± 0.00,53.71 ± 0.00,65.11 ± 0.00,6,0.0,27.27 ± 0.00,0,0.0,0.00 ± 0.00,14,0.0,42.42 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,64.318,0.0,0.999,0.0
openai/gpt-oss-20b,uner_tl_ugnayan,True,False,low,,sampling,True,constrained,token_aware,1,,18000,42,1,80.00 ± 0.00,72.73 ± 0.00,76.19 ± 0.00,92.68 ± 0.00,84.51 ± 0.00,95.55 ± 0.00,89.69 ± 0.00,84.51 ± 0.00,95.55 ± 0.00,89.69 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,92.273,0.0,1.277,0.0
