model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,macro_hard_precision_report,macro_hard_recall_report,macro_hard_f1_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
openai/gpt-oss-120b,wmt_en-is-literary,True,low,,sampling,True,unconstrained,n|a,1,15,16000,42,1,25.93 ± 0.00,28.70 ± 0.00,31.46 ± 0.00,7.63 ± 0.00,9.90 ± 0.00,8.12 ± 0.00,19.51 ± 0.00,17.53 ± 0.00,18.47 ± 0.00,32.57 ± 0.00,29.25 ± 0.00,30.82 ± 0.00,4,0.0,26.67 ± 0.00,45,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,371.2,0.0,5.874,0.0
openai/gpt-oss-120b,wmt_en-is-literary,True,low,,sampling,True,constrained,token_aware,1,15,16000,42,1,38.03 ± 0.00,40.41 ± 0.00,41.88 ± 0.00,16.83 ± 0.00,14.76 ± 0.00,15.05 ± 0.00,25.56 ± 0.00,23.45 ± 0.00,24.46 ± 0.00,44.66 ± 0.00,40.98 ± 0.00,42.74 ± 0.00,0,0.0,0.00 ± 0.00,39,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,385.733,0.0,5.974,0.0
openai/gpt-oss-120b,wmt_en-es-social,True,low,,sampling,True,unconstrained,n|a,1,15,16000,42,1,26.27 ± 0.00,24.72 ± 0.00,45.13 ± 0.00,7.23 ± 0.00,21.20 ± 0.00,10.58 ± 0.00,10.93 ± 0.00,22.26 ± 0.00,14.66 ± 0.00,28.89 ± 0.00,58.87 ± 0.00,38.76 ± 0.00,1,0.0,6.67 ± 0.00,21,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,243.267,0.0,3.466,0.0
openai/gpt-oss-120b,wmt_en-es-social,True,low,,sampling,True,constrained,token_aware,1,15,16000,42,1,25.89 ± 0.00,22.35 ± 0.00,38.09 ± 0.00,11.91 ± 0.00,20.40 ± 0.00,14.43 ± 0.00,25.29 ± 0.00,40.75 ± 0.00,31.21 ± 0.00,38.88 ± 0.00,62.64 ± 0.00,47.98 ± 0.00,0,0.0,0.00 ± 0.00,21,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,210.867,0.0,3.141,0.0
openai/gpt-oss-120b,wmt_en-uk-social,True,low,,sampling,True,unconstrained,n|a,1,15,16000,42,1,16.99 ± 0.00,15.68 ± 0.00,21.60 ± 0.00,5.74 ± 0.00,9.71 ± 0.00,7.19 ± 0.00,14.89 ± 0.00,12.42 ± 0.00,13.54 ± 0.00,40.84 ± 0.00,34.08 ± 0.00,37.15 ± 0.00,4,0.0,26.67 ± 0.00,20,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,276.067,0.0,3.998,0.0
openai/gpt-oss-120b,wmt_en-uk-social,True,low,,sampling,True,constrained,token_aware,1,15,16000,42,1,30.52 ± 0.00,29.49 ± 0.00,43.09 ± 0.00,14.05 ± 0.00,14.43 ± 0.00,12.94 ± 0.00,12.23 ± 0.00,19.75 ± 0.00,15.10 ± 0.00,32.15 ± 0.00,51.91 ± 0.00,39.71 ± 0.00,0,0.0,0.00 ± 0.00,22,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,318.267,0.0,4.535,0.0
openai/gpt-oss-120b,wmt_en-hi-news,True,low,,sampling,True,unconstrained,n|a,1,15,16000,42,1,7.97 ± 0.00,5.51 ± 0.00,20.00 ± 0.00,1.43 ± 0.00,6.67 ± 0.00,2.35 ± 0.00,2.30 ± 0.00,3.91 ± 0.00,2.90 ± 0.00,12.07 ± 0.00,20.52 ± 0.00,15.20 ± 0.00,6,0.0,40.00 ± 0.00,26,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,288.333,0.0,4.714,0.0
openai/gpt-oss-120b,wmt_en-hi-news,True,low,,sampling,True,constrained,token_aware,1,15,16000,42,1,18.38 ± 0.00,15.83 ± 0.00,39.99 ± 0.00,4.10 ± 0.00,20.29 ± 0.00,6.12 ± 0.00,3.94 ± 0.00,10.42 ± 0.00,5.72 ± 0.00,16.50 ± 0.00,43.65 ± 0.00,23.95 ± 0.00,0,0.0,0.00 ± 0.00,31,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,383.733,0.0,5.909,0.0
openai/gpt-oss-120b,wmt_en-zh-news,True,low,,sampling,True,unconstrained,n|a,1,15,16000,42,1,10.10 ± 0.00,8.68 ± 0.00,17.53 ± 0.00,3.01 ± 0.00,9.90 ± 0.00,3.70 ± 0.00,6.50 ± 0.00,7.95 ± 0.00,7.16 ± 0.00,23.84 ± 0.00,29.17 ± 0.00,26.24 ± 0.00,3,0.0,25.00 ± 0.00,27,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,375.75,0.0,4.601,0.0
openai/gpt-oss-120b,wmt_en-zh-news,True,low,,sampling,True,constrained,token_aware,1,15,16000,42,1,14.67 ± 0.00,12.77 ± 0.00,23.78 ± 0.00,4.65 ± 0.00,9.90 ± 0.00,5.87 ± 0.00,6.73 ± 0.00,7.95 ± 0.00,7.29 ± 0.00,25.64 ± 0.00,30.30 ± 0.00,27.78 ± 0.00,0,0.0,0.00 ± 0.00,21,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,425.833,0.0,5.089,0.0
