                 system_prompt       model  precision  recall      f1  accuracy  elapsed_minute
         SYSTEM_PROMPT_CONTEXT   gemma3:4b    0.64093 0.22417 0.33092   0.85435          26.496
         SYSTEM_PROMPT_CONTEXT    qwen3:8b    0.69343 0.12986 0.21736   0.84546          31.824
         SYSTEM_PROMPT_CONTEXT gpt-oss:20b    0.74520 0.56621 0.64334   0.92308          11.190
         SYSTEM_PROMPT_CONTEXT llama3.1:8b    0.78728 0.14412 0.23899   0.84956          11.735
      SYSTEM_PROMPT_CONTEXT_MD   gemma3:4b    0.60159 0.18160 0.27890   0.84121          19.935
      SYSTEM_PROMPT_CONTEXT_MD    qwen3:8b    0.70072 0.11233 0.19352   0.84269          20.117
      SYSTEM_PROMPT_CONTEXT_MD gpt-oss:20b    0.75366 0.56730 0.64705   0.92564          11.990
      SYSTEM_PROMPT_CONTEXT_MD llama3.1:8b    0.80546 0.09378 0.16637   0.84264          11.093
SYSTEM_PROMPT_CONTEXT_MD_SHORT   gemma3:4b    0.65931 0.18207 0.28264   0.84896          16.333
SYSTEM_PROMPT_CONTEXT_MD_SHORT    qwen3:8b    0.70644 0.09100 0.15963   0.84024          30.286
SYSTEM_PROMPT_CONTEXT_MD_SHORT gpt-oss:20b    0.75969 0.54461 0.63430   0.92388          11.064
SYSTEM_PROMPT_CONTEXT_MD_SHORT llama3.1:8b    0.76095 0.21138 0.33011   0.86024          10.467
