system_prompt,model,precision,recall,f1,accuracy,elapsed_minute
SYSTEM_PROMPT_CONTEXT,gemma3:4b,0.63225,0.52798,0.57541,0.88754,1.635
SYSTEM_PROMPT_CONTEXT,qwen3:8b,0.70448,0.53938,0.61021,0.90676,2.447
SYSTEM_PROMPT_CONTEXT,gpt-oss:20b,0.65481,0.69299,0.6733,0.91695,4.154
SYSTEM_PROMPT_CONTEXT,llama3.1:8b,0.69818,0.5274,0.60081,0.91081,1.329
SYSTEM_PROMPT_CONTEXT_MD,gemma3:4b,0.58637,0.41955,0.4888,0.86338,1.498
SYSTEM_PROMPT_CONTEXT_MD,qwen3:8b,0.70021,0.55756,0.62079,0.91101,3.693
SYSTEM_PROMPT_CONTEXT_MD,gpt-oss:20b,0.64932,0.68699,0.66761,0.91787,4.667
SYSTEM_PROMPT_CONTEXT_MD,llama3.1:8b,0.72864,0.51682,0.60416,0.91199,1.233
SYSTEM_PROMPT_CONTEXT_MD_SHORT,gemma3:4b,0.62125,0.4345,0.51097,0.87641,1.437
SYSTEM_PROMPT_CONTEXT_MD_SHORT,qwen3:8b,0.69718,0.52475,0.59877,0.90667,1.748
SYSTEM_PROMPT_CONTEXT_MD_SHORT,gpt-oss:20b,0.66018,0.69974,0.67938,0.92249,5.293
SYSTEM_PROMPT_CONTEXT_MD_SHORT,llama3.1:8b,0.74572,0.51751,0.61065,0.91487,1.236
