system_prompt,model,precision,recall,f1,accuracy,elapsed_minute
SYSTEM_PROMPT_CONTEXT,gemma3:4b,0.62384,0.47165,0.53642,0.88056,4.666
SYSTEM_PROMPT_CONTEXT,qwen3:8b,0.70019,0.51754,0.59465,0.90396,4.954
SYSTEM_PROMPT_CONTEXT,gpt-oss:20b,0.63392,0.66719,0.65002,0.91398,6.009
SYSTEM_PROMPT_CONTEXT,llama3.1:8b,0.73151,0.5267,0.61207,0.90787,1.961
SYSTEM_PROMPT_CONTEXT_MD,gemma3:4b,0.59107,0.41854,0.48984,0.86438,2.043
SYSTEM_PROMPT_CONTEXT_MD,qwen3:8b,0.69733,0.55475,0.6179,0.91123,5.179
SYSTEM_PROMPT_CONTEXT_MD,gpt-oss:20b,0.63272,0.6993,0.6643,0.91635,6.648
SYSTEM_PROMPT_CONTEXT_MD,llama3.1:8b,0.72115,0.47457,0.57228,0.90542,1.872
SYSTEM_PROMPT_CONTEXT_MD_SHORT,gemma3:4b,0.63105,0.41547,0.50094,0.87346,1.967
SYSTEM_PROMPT_CONTEXT_MD_SHORT,qwen3:8b,0.69639,0.54543,0.6117,0.9113,2.23
SYSTEM_PROMPT_CONTEXT_MD_SHORT,gpt-oss:20b,0.64332,0.67986,0.66104,0.91883,7.074
SYSTEM_PROMPT_CONTEXT_MD_SHORT,llama3.1:8b,0.74263,0.49051,0.59057,0.90937,1.81
